startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar 16 07:43:04,2016 Mar 16 07:43:05,1458114184.0,1458114185.0,1.0,1057.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 07:43:07,2016 Mar 16 07:43:07,1458114187.0,1458114187.0,0.0,2.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 08:01:18,2016 Mar 16 08:01:18,1458115278.0,1458115278.0,0.0,1091.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 09:06:23,2016 Mar 16 09:06:23,1458119183.0,1458119183.0,0.0,3905.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 09:11:21,2016 Mar 16 09:11:21,1458119481.0,1458119481.0,0.0,298.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 09:11:21,2016 Mar 16 09:11:22,1458119481.0,1458119482.0,1.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 09:49:22,2016 Mar 16 09:55:59,1458121762.0,1458122159.0,397.0,2280.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 11:24:38,2016 Mar 16 11:24:39,1458127478.0,1458127479.0,1.0,5319.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 11:54:54,2016 Mar 16 11:54:54,1458129294.0,1458129294.0,0.0,1815.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 11:57:00,2016 Mar 16 11:57:00,1458129420.0,1458129420.0,0.0,126.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 12:00:15,2016 Mar 16 12:00:15,1458129615.0,1458129615.0,0.0,195.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 16 12:00:15,2016 Mar 16 12:00:16,1458129615.0,1458129616.0,1.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 17 10:33:16,2016 Mar 17 10:34:21,1458210796.0,1458210861.0,65.0,81180.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
