startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 May 11 15:23:56,2016 May 11 15:23:56,1462980236.0,1462980236.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 05:28:58,2016 May 12 05:28:58,1463030938.0,1463030938.0,0.0,50702.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 08:42:02,2016 May 12 08:42:02,1463042522.0,1463042522.0,0.0,11584.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 10:08:42,2016 May 12 10:08:42,1463047722.0,1463047722.0,0.0,5200.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:31:28,2016 May 12 12:32:43,1463056288.0,1463056363.0,75.0,8566.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:43,2016 May 12 12:32:43,1463056363.0,1463056363.0,0.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:44,2016 May 12 12:32:44,1463056364.0,1463056364.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:44,2016 May 12 12:32:45,1463056364.0,1463056365.0,1.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:45,2016 May 12 12:32:45,1463056365.0,1463056365.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:45,2016 May 12 12:32:45,1463056365.0,1463056365.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:46,2016 May 12 12:32:46,1463056366.0,1463056366.0,0.0,1.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:46,2016 May 12 12:32:46,1463056366.0,1463056366.0,0.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:47,2016 May 12 12:32:47,1463056367.0,1463056367.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:47,2016 May 12 12:32:47,1463056367.0,1463056367.0,0.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:48,2016 May 12 12:32:48,1463056368.0,1463056368.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:32:49,2016 May 12 12:32:49,1463056369.0,1463056369.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:36:47,2016 May 12 12:37:13,1463056607.0,1463056633.0,26.0,238.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:37:13,2016 May 12 12:37:14,1463056633.0,1463056634.0,1.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:37:14,2016 May 12 12:37:14,1463056634.0,1463056634.0,0.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:37:14,2016 May 12 12:37:14,1463056634.0,1463056634.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:37:15,2016 May 12 12:37:15,1463056635.0,1463056635.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:37:15,2016 May 12 12:37:16,1463056635.0,1463056636.0,1.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:37:16,2016 May 12 12:37:16,1463056636.0,1463056636.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:37:39,2016 May 12 12:38:08,1463056659.0,1463056688.0,29.0,23.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 May 12 12:38:08,2016 May 12 12:38:08,1463056688.0,1463056688.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
