startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 May  2 10:31:14,2016 May  2 10:31:14,1462185074.0,1462185074.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May  2 10:31:14,2016 May  2 10:31:15,1462185074.0,1462185075.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May  2 10:31:15,2016 May  2 10:31:16,1462185075.0,1462185076.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May  6 12:17:45,2016 May  6 13:35:27,1462537065.0,1462541727.0,4662.0,351989.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May  6 13:35:27,2016 May  6 13:35:27,1462541727.0,1462541727.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May  6 13:35:28,2016 May  6 13:35:28,1462541728.0,1462541728.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May  6 13:35:29,2016 May  6 13:35:29,1462541729.0,1462541729.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May  6 13:35:30,2016 May  6 13:35:30,1462541730.0,1462541730.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 10 02:43:21,2016 May 10 10:11:27,1462848201.0,1462875087.0,26886.0,306471.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 10 10:11:27,2016 May 10 10:11:27,1462875087.0,1462875087.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 10 10:11:28,2016 May 10 10:11:28,1462875088.0,1462875088.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 10 10:11:29,2016 May 10 10:11:29,1462875089.0,1462875089.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:18:24,2016 May 18 09:18:24,1463563104.0,1463563104.0,0.0,688015.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:31:45,2016 May 18 09:31:46,1463563905.0,1463563906.0,1.0,801.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:32:46,2016 May 18 09:32:46,1463563966.0,1463563966.0,0.0,60.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:32:49,2016 May 18 09:32:49,1463563969.0,1463563969.0,0.0,3.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:35,2016 May 18 09:34:36,1463564075.0,1463564076.0,1.0,106.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:36,2016 May 18 09:34:37,1463564076.0,1463564077.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:40,2016 May 18 09:34:41,1463564080.0,1463564081.0,1.0,3.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:41,2016 May 18 09:34:45,1463564081.0,1463564085.0,4.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:46,2016 May 18 09:34:46,1463564086.0,1463564086.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:47,2016 May 18 09:34:47,1463564087.0,1463564087.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:48,2016 May 18 09:34:48,1463564088.0,1463564088.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:53,2016 May 18 09:34:53,1463564093.0,1463564093.0,0.0,5.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:56,2016 May 18 09:34:57,1463564096.0,1463564097.0,1.0,3.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:34:57,2016 May 18 09:34:58,1463564097.0,1463564098.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:35:54,2016 May 18 09:35:54,1463564154.0,1463564154.0,0.0,56.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:37:19,2016 May 18 09:37:19,1463564239.0,1463564239.0,0.0,85.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:38:24,2016 May 18 09:38:25,1463564304.0,1463564305.0,1.0,65.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:39:16,2016 May 18 09:39:16,1463564356.0,1463564356.0,0.0,51.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:39:22,2016 May 18 09:39:22,1463564362.0,1463564362.0,0.0,6.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:40:43,2016 May 18 09:40:43,1463564443.0,1463564443.0,0.0,81.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 18 09:41:28,2016 May 18 09:41:29,1463564488.0,1463564489.0,1.0,45.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 05:17:28,2016 May 22 05:19:13,1463894248.0,1463894353.0,105.0,329759.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 05:19:14,2016 May 22 05:19:14,1463894354.0,1463894354.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 05:19:15,2016 May 22 05:19:15,1463894355.0,1463894355.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 06:05:07,2016 May 22 06:32:25,1463897107.0,1463898745.0,1638.0,2752.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 06:32:26,2016 May 22 06:32:26,1463898746.0,1463898746.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 06:32:31,2016 May 22 06:34:21,1463898751.0,1463898861.0,110.0,5.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 06:34:22,2016 May 22 06:34:22,1463898862.0,1463898862.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 06:34:23,2016 May 22 06:34:23,1463898863.0,1463898863.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 06:34:24,2016 May 22 06:34:24,1463898864.0,1463898864.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 22 06:34:25,2016 May 22 06:34:25,1463898865.0,1463898865.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 31 19:09:30,2016 May 31 19:09:39,1464721770.0,1464721779.0,9.0,822905.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 31 19:09:39,2016 May 31 19:09:39,1464721779.0,1464721779.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
